Portuguese,English
que,what
a,The
o,O
não,no
de,in
é,It is
e,It is
um,one
para,for
eu,I
uma,one
está,it is
com,with
se,if
do,of
por,per
os,you
ele,he
mas,but
em,in
bem,good
isso,that
da,from the
como,as
sim,Yes
as,to the
no,at the
mais,more
na,at
meu,my
aqui,here
me,me
muito,very
foi,he was
ela,she
isto,this
estou,I am
fazer,to do
vamos,let's go
já,already
ser,to be
vai,go
à,The
minha,my
só,only
ao,to the
tem,he has
tudo,all
te,you
porque,why
há,there is
tenho,I have
vou,I go
tu,you
sei,know
quando,when
agora,now
estás,these
você,you
lá,there
então,then
ter,to have
era,it was
quem,who
onde,where
nada,anything
ou,or
coisa,thing
dizer,to say
são,they are
quero,I want
estava,he was
sou,am
seu,your
pode,he can
mesmo,same
esta,it is
eles,they
nós,us
sua,your
dos,of the
todos,all
nos,us
mim,me
posso,I can
bom,good
ver,to see
este,This one
casa,House
temos,we have
tens,you have
tua,your
nunca,Never
estão,they are
até,until
assim,like this
teu,your
acho,I think
falar,to speak
